receipt_date,cumulative_total
2024-01-16,654931.63
2024-01-16,655931.63
2024-01-17,656931.63
2024-01-17,657931.63
2024-01-17,658181.63
2024-01-17,658281.63
2024-01-17,658781.63
2024-01-17,659235.63
2024-01-17,659485.63
2024-01-18,659635.63
2024-01-18,660135.63
2024-01-18,661135.63
2024-01-18,661347.63
2024-01-18,661509.63
2024-01-18,661759.63
2024-01-18,661859.63
2024-01-18,661879.63
2024-01-18,662879.63
2024-01-18,663129.63
2024-01-19,663379.63
2024-01-19,663679.63
2024-01-19,663779.63
2024-01-19,664029.63
2024-01-19,664279.63
2024-01-19,664479.63
2024-01-19,664779.63
2024-01-19,664789.63
2024-01-19,665289.63
2024-01-19,665539.63
2024-01-19,665789.63
2024-01-19,666039.63
2024-01-19,666239.63
2024-01-19,666489.63
2024-01-19,668889.63
2024-01-19,671289.63
2024-01-19,671539.63
2024-01-20,671578.63
2024-01-20,671678.63
2024-01-20,672120.63
2024-01-21,672220.63
2024-01-21,672470.63
2024-01-21,672720.63
2024-01-21,672820.63
2024-01-21,673070.63
2024-01-22,673570.63
2024-01-22,673670.63
2024-01-22,673770.63
2024-01-22,673670.63
2024-01-22,673920.63
2024-01-22,674170.63
2024-01-22,674670.63
2024-01-22,675670.63
2024-01-22,675680.63
2024-01-22,675730.63
2024-01-23,675740.63
2024-01-23,675990.63
2024-01-23,676490.63
2024-01-23,676740.63
2024-01-23,676990.63
2024-01-23,677090.63
2024-01-23,677140.63
2024-01-23,677240.63
2024-01-23,677290.63
2024-01-23,677540.63
2024-01-23,678540.63
2024-01-23,678690.63
2024-01-24,679190.63
2024-01-24,679690.63
2024-01-24,680190.63
2024-01-24,680290.63
2024-01-24,680390.63
2024-01-24,680890.63
2024-01-24,680892.13
2024-01-24,681552.13
2024-01-25,682052.13
2024-01-25,682302.13
2024-01-25,682552.13
2024-01-25,682602.13
2024-01-26,683102.13
2024-01-26,683141.13
2024-01-26,684141.13
2024-01-26,684391.13
2024-01-26,684641.13
2024-01-26,684891.13
2024-01-26,684991.13
2024-01-26,687391.13
2024-01-26,687491.13
2024-01-26,687481.13
2024-01-27,687506.13
2024-01-27,688006.13
2024-01-27,688506.13
2024-01-27,688531.13
2024-01-27,689531.13
2024-01-27,690031.13
2024-01-27,692000.13
2024-01-27,692035.13
2024-01-28,693035.13
2024-01-28,693055.13
2024-01-28,694455.13
2024-01-28,694555.13
2024-01-28,695055.13
2024-01-29,695305.13
2024-01-29,695405.13
2024-01-29,695655.13
2024-01-29,695905.13
2024-01-29,696405.13
2024-01-29,696430.13
2024-01-29,697430.13
2024-01-29,698430.13
2024-01-29,698680.13
2024-01-29,698930.13
2024-01-30,699180.13
2024-01-30,699280.13
2024-01-30,699530.13
2024-01-30,700530.13
2024-01-30,700780.13
2024-01-30,701030.13
2024-01-30,701530.13
2024-01-30,701530.28
2024-01-30,701540.28
2024-01-30,702040.28
2024-01-31,702140.28
2024-01-31,702165.28
2024-01-31,702215.28
2024-01-31,702515.28
2024-01-31,703015.28
2024-01-31,703065.28
2024-01-31,703075.28
2024-01-31,703325.28
2024-01-31,703350.28
2024-01-31,703450.28
2024-01-31,703550.28
2024-01-31,703650.28
2024-01-31,704400.28
2024-01-31,704550.28
2024-01-31,705025.28
2024-01-31,705275.28
2024-01-31,705325.28
2024-02-01,707725.28
2024-02-01,707975.28
2024-02-01,708225.28
2024-02-01,708475.28
2024-02-01,708490.28
2024-02-01,708740.28
2024-02-01,711140.28
2024-02-01,712140.28
2024-02-01,712585.28
2024-02-01,713585.28
2024-02-01,714085.28
2024-02-02,714185.28
2024-02-02,714310.28
2024-02-02,714510.28
2024-02-02,714610.28
2024-02-02,714860.28
2024-02-02,715110.28
2024-02-03,715160.28
2024-02-03,715605.28
2024-02-04,715630.28
2024-02-04,716130.28
2024-02-04,716155.28
2024-02-05,716405.28
2024-02-05,717405.28
2024-02-05,717655.28
2024-02-05,717665.28
2024-02-05,717915.28
2024-02-06,718915.28
2024-02-06,719165.28
2024-02-06,719665.28
2024-02-06,720665.28
2024-02-07,720915.28
2024-02-07,720935.28
2024-02-07,720960.28
2024-02-07,720970.28
2024-02-07,721070.28
2024-02-07,721095.28
2024-02-08,721145.28
2024-02-08,721155.28
2024-02-08,721205.28
2024-02-08,721255.28
2024-02-08,721270.28
2024-02-09,721420.28
2024-02-09,721470.28
2024-02-09,721520.28
2024-02-09,721550.28
2024-02-09,721575.28
2024-02-09,722575.28
2024-02-09,723075.28
2024-02-09,723550.28
2024-02-09,723575.28
2024-02-09,723825.28
2024-02-09,724325.28
2024-02-09,724345.28
2024-02-09,724845.28
2024-02-09,725158.98
2024-02-09,725258.98
2024-02-09,725408.98
2024-02-09,725658.98
2024-02-09,728058.98
2024-02-09,728458.98
2024-02-10,728558.98
2024-02-11,729058.98
2024-02-11,729068.98
2024-02-11,729093.98
2024-02-12,729593.98
2024-02-12,729618.98
2024-02-12,729868.98
2024-02-12,730368.98
2024-02-12,732768.98
2024-02-12,735168.98
2024-02-12,735268.98
2024-02-12,736268.98
2024-02-12,736278.98
2024-02-13,736378.98
2024-02-13,736403.98
2024-02-13,736653.98
2024-02-13,736903.98
2024-02-13,736913.98
2024-02-13,736963.98
2024-02-13,737213.98
2024-02-14,737313.98
2024-02-14,737563.98
